COMNAM_crsp	CNAME_ibes	new_ibes2	new_crsp2	id
1 800 FLOWERS COM INC	1-800-FLOWERS.COM INC	1800FLOWERSCOM	1 800 FLOWERS COM	1
1347 PROPERTY INSURANCE HLDS INC	1347 PROPERTY INSURANCE HOLDINGS	1347 PROPERTIES INSURANCE HOLDINGS	1347 PROPERTIES INSURANCE HLDS	2
1ST CENTURY BANKSHARES INC	1ST CENTURY BANCSHARES INC	FIRST CENTURY BANCSHARES	FIRST CENTURY BANKSHARES	3
1ST CONSTITUTION BANCORP	1ST CONSTITUTION BANCORP	FIRST CONSTITUTION BANK	FIRST CONSTITUTION BANK	4
1ST SOURCE CORP	1ST SOURCE CORP	FIRST SOURCE	FIRST SOURCE	5
1ST UNITED BANCORP INC	1ST UNITED BANCORP INC	FIRST UNITED BANK	FIRST UNITED BANK	6
2 U INC	2U INC	2U	2 U	7
21ST CENTURY HOLDING CO	21ST CENTURY HOLDING COMPANY	21ST CENTURY HOLDINGS	21ST CENTURY HOLDINGS	8
22ND CENTURY GROUP INC	22ND CENTURY GROUP INC	22ND CENTURY GROUP	22ND CENTURY GROUP	9
3 D SYSTEMS CORP DEL	THREE-D SYSTEMS INC	THREED SYSTEMS	3 D SYSTEMS CORP DEL	10
3COM CORP	THREECOM CORPORATION	THREECOM	3COM	11
3M CO	3M CO	3M	3M	12
3PAR INC	3PAR INC	3PAR	3PAR	13
3PEA INTERNATIONAL INC	3PEA INTERNATIONAL INC	3PEA INTERNATIONAL	3PEA INTERNATIONAL	14
4 KIDS ENTERTAINMENT INC	FOUR KIDS ENTERTAINMENT INCORPOR	FOUR KIDS ENTERTAINMENT INCORPOR	4 KIDS ENTERTAINMENT	15
57TH STREET GENERAL ACQUIS CORP	57TH STREET GENERAL ACQUISITION	57TH STREET GENERAL ACQUISITION	57TH STREET GENERAL ACQUIS	16
8POINT3 ENERGY PARTNERS LP	8POINT3 ENERGY PARTNERS LP	8POINT3 ENERGY PARTNERS	8POINT3 ENERGY PARTNERS	17
8X8 INC NEW	8X8 INC	8X8	8X8 INC NEW	18
99 CENTS ONLY STORES	99 CENTS ONLY STORES	99 CENTS ONLY STORES	99 CENTS ONLY STORES	19
A A C HOLDINGS INC	AAC HOLDINGS INC	AAC HOLDINGS	A A C HOLDINGS	20
A A R CORP	AAR CORP	AAR	A A R	21
A B M INDUSTRIES INC	AMERN BLDG MAINT	AMERN BLDG MAINT	A B M INDUSTRIES	22
A C C O BRANDS CORP	ACCO BRANDS CORPORATION	ACCO BRANDS	A C C O BRANDS	23
A C I WORLDWIDE INC	ACI WORLDWIDE INC	ACI WORLDWIDE	A C I WORLDWIDE	24
A C M RESEARCH INC	ACM RESEARCH INC	ACM RESEARCH	A C M RESEARCH	25
A D A M INC	ADAM INC	ADAM	A D A M	26
A D C TELECOMMUNICATIONS INC	ADC TELECOMMUNICATIONS INC	ADC TELECOMMUNICATIONS	A D C TELECOMMUNICATIONS	27
A D P T CORP	ADPT CORPORATION	ADPT	A D P T	28
A D T CORP	ADT CORP	ADT	A D T	29
A D T INC	ADT INC	ADT	A D T	30
A E C O M	AECOM	AECOM	A E C O M	31
A E C O M TECHNOLOGY CORP	AECOM TECHNOLOGY CORP	AECOM TECHNOLOGY	A E C O M TECHNOLOGY	32
A E P INDUSTRIES INC	AEP INDUSTRIES INCORPORATED	AEP INDUSTRIES	A E P INDUSTRIES	33
A E S CORP	AES CORP	AES	A E S	34
A F C ENTERPRISES INC	AFC ENTERPRISES	AFC ENTERPRISES	A F C ENTERPRISES	35
A G A MEDICAL HOLDINGS INC	AGA MEDICAL HOLDINGS INC	AGA MEDICAL HOLDINGS	A G A MEDICAL HOLDINGS	36
A G C O CORP	AGCO CORP	AGCO	A G C O	37
A G L RESOURCES INC	AGL RESOURCES INC	AGL RESOURCES	A G L RESOURCES	38
A H BELO CORP	AH BELO CORP	AH BELO	A H BELO	39
A K STEEL HOLDING CORP	AK STEEL HOLDING CORP	AK STEEL HOLDINGS	A K STEEL HOLDINGS	40
A L J REGIONAL HOLDINGS INC	ALJ REGIONAL HOLDINGS INC	ALJ REGIONAL HOLDINGS	A L J REGIONAL HOLDINGS	41
A M A G PHARMACEUTICALS INC	AMAG PHARMACEUTICALS INC	AMAG PHARMACEUTICALS	A M A G PHARMACEUTICALS	42
A M C ENTERTAINMENT HOLDINGS INC	AMC ENTERTAINMENT HOLDINGS INC	AMC ENTERTAINMENT HOLDINGS	A M C ENTERTAINMENT HOLDINGS	43
A M C NETWORKS INC	AMC NETWORKS INC	AMC NETWORKS	A M C NETWORKS	44
A M N HEALTHCARE SERVICES INC	AMN HEALTHCARE SERVICES  INC	AMN HEALTHCARE SERVICES 	A M N HEALTHCARE SERVICES	45
A M R CORP DEL	AMR CORPORATION	AMR	A M R CORP DEL	46
A MARK PRECIOUS METALS INC	AMARK PRECIOUS METALS INC	AMARK PRECIOUS METALS	A MARK PRECIOUS METALS	47
A N I PHARMACEUTICALS INC	ANI PHARMACEUTICALS INC	ANI PHARMACEUTICALS	A N I PHARMACEUTICALS	48
A O L INC	AOL INC	AOL	A O L	49
A P A C CUSTOMER SERVICES INC	APAC TELESERVICES	APAC TELESERVICES	A P A C CUSTOMER SERVICES	50
A P I TECHNOLOGIES CORP	API TECHNOLOGIES CORP	API TECHNOLOGY	A P I TECHNOLOGY	51
A P PHARMA INC	AP PHARMA INC.	AP PHARMA	A P PHARMA	52
A R C DOCUMENTS SOLUTIONS INC	ARC DOCUMENT SOLUTIONS INC	ARC DOCUMENT SOLUTIONS	A R C DOCUMENTS SOLUTIONS	53
A R I NETWORK SERVICES INC	ARI NETWORK SVCS INC	ARI NETWORK SERVICES	A R I NETWORK SERVICES	54
A R M O BIOSCIENCES INC	ARMO BIOSCIENCES INC	ARMO BIOSCIENCES	A R M O BIOSCIENCES	55
A S V HOLDINGS INC	ASV HOLDINGS INC	ASV HOLDINGS	A S V HOLDINGS	56
A T & T INC	AT&T INC	ATT	A T  T	57
A T C TECHNOLOGY CORP	ATC TECHNOLOGY CORP	ATC TECHNOLOGY	A T C TECHNOLOGY	58
A T N INTERNATIONAL INC	ATN INTERNATIONAL INC	ATN INTERNATIONAL	A T N INTERNATIONAL	59
A T P OIL & GAS CORP	ATP OIL & GAS	ATP OIL  GAS	A T P OIL  GAS	60
A T R M HOLDINGS INC	ATRM HOLDINGS INC	ATRM HOLDINGS	A T R M HOLDINGS	61
A T S CORP	ATS CORP	ATS	A T S	62
A T S MEDICAL INC	ATS MED INC	ATS MED	A T S MEDICAL	63
A V E O PHARMACEUTICALS INC	AVEO PHARMACEUTICALS INC	AVEO PHARMACEUTICALS	A V E O PHARMACEUTICALS	64
A V HOMES INC	AV HOMES INC	AV HOMES	A V HOMES	65
A V I BIOPHARMA INC	AVI BIOPHARMA INC	AVI BIOPHARMA	A V I BIOPHARMA	66
A V X CORP NEW	AVX CORPORATION	AVX	A V X CORP NEW	67
A X A EQUITABLE HOLDINGS INC	AXA EQUITABLE HOLDINGS INC	AXA EQUITABLE HOLDINGS	A X A EQUITABLE HOLDINGS	68
A X T INC	AXT INC	AXT	A X T	69
A Z Z INC	AZZ INCORPORATED	AZZ	A Z Z	70
A10 NETWORKS INC	A10 NETWORKS INC	A10 NETWORKS	A10 NETWORKS	71
A123 SYSTEMS INC	A123 SYSTEMS INC	A123 SYSTEMS	A123 SYSTEMS	72
AAON INC	AAON INC	AAON	AAON	73
AARONS INC	AARON'S INC	AARONS	AARONS	74
AASTROM BIOSCIENCES INC	AASTROM BIOSCIENCES INC	AASTROM BIOSCIENCES	AASTROM BIOSCIENCES	75
ABAXIS INC	ABAXIS INC	ABAXIS	ABAXIS	76
ABBOTT LABORATORIES	ABBOTT LABORATORIES	ABBOTT LABORATORIES	ABBOTT LABORATORIES	77
ABBVIE INC	ABBVIE INC	ABBVIE	ABBVIE	78
ABEONA THERAPEUTICS INC	ABEONA THERAPEUTICS INC	ABEONA THERAPEUTICS	ABEONA THERAPEUTICS	79
ABERCROMBIE & FITCH CO	ABERCROMBIE & FITCH CO	ABERCROMBIE  FITCH	ABERCROMBIE  FITCH	80
ABINGTON BANCORP INC PA	ABINGTON BANCORP INC	ABINGTON BANK	ABINGTON BANK INC PA	81
ABIOMED INC	ABIOMED INC	ABIOMED	ABIOMED	82
ABITIBIBOWATER INC	ABITIBIBOWATER INC	ABITIBIBOWATER	ABITIBIBOWATER	83
ABOVENET INC	ABOVENET INC.	ABOVENET	ABOVENET	84
ABRAXAS PETROLEUM CORP	ABRAXAS PETROLEUM CORPORATION	ABRAXAS PETROLEUM	ABRAXAS PETROLEUM	85
ABRAXIS BIOSCIENCE INC NEW	ABRAXIS BIOSCIENCE INC/NEW	ABRAXIS BIOSCIENCE INCNEW	ABRAXIS BIOSCIENCE INC NEW	86
AC MOORE ARTS AND CRAFTS INC	AC MOORE ARTS & CRAFTS INC	AC MOORE ARTS  CRAFTS	AC MOORE ARTS   CRAFTS	87
ACACIA COMMUNICATIONS INC	ACACIA COMMUNICATIONS INC	ACACIA COMMUNICATIONS	ACACIA COMMUNICATIONS	88
ACACIA RESEARCH CORP	ACACIA RESEARCH CORP	ACACIA RESEARCH	ACACIA RESEARCH	89
ACADIA HEALTHCARE CO INC	ACADIA HEALTHCARE CO INC	ACADIA HEALTHCARE CO	ACADIA HEALTHCARE CO	90
ACADIA PHARMACEUTICALS	ACADIA PHARMACEUTICALS INC	ACADIA PHARMACEUTICALS	ACADIA PHARMACEUTICALS	91
ACCELERATE DIAGNOSTICS INC	ACCELERATE DIAGNOSTICS INC	ACCELERATE DIAGNOSTICS	ACCELERATE DIAGNOSTICS	92
ACCELERON PHARMA INC	ACCELERON PHARMA INC	ACCELERON PHARMA	ACCELERON PHARMA	93
ACCELR8 TECHNOLOGY CORP	ACCELER8 TECHNOLOGY CORPORATION	ACCELER8 TECHNOLOGY	ACCELR8 TECHNOLOGY	94
ACCELRYS INC	ACCELRYS INC	ACCELRYS	ACCELRYS	95
ACCESS NATIONAL CORP	ACCESS NATIONAL CORP	ACCESS NATIONAL	ACCESS NATIONAL	96
ACCRETIVE HEALTH INC	ACCRETIVE HEALTH INC	ACCRETIVE HEALTH	ACCRETIVE HEALTH	97
ACCURAY INC DE	ACCURAY INC	ACCURAY	ACCURAY INC	98
ACCURIDE CORP NEW	ACCURIDE CORP	ACCURIDE	ACCURIDE CORP NEW	99
ACELRX PHARMACEUTICALS INC	ACELRX PHARMACEUTICALS INC	ACELRX PHARMACEUTICALS	ACELRX PHARMACEUTICALS	100
ACER THERAPEUTICS INC	ACER THERAPEUTICS INC	ACER THERAPEUTICS	ACER THERAPEUTICS	101
ACETO CORP	ACETO CORP.	ACETO	ACETO	102
ACHAOGEN INC	ACHAOGEN INC	ACHAOGEN	ACHAOGEN	103
ACHIEVE LIFE SCIENCES INC	ACHIEVE LIFE SCIENCES INC	ACHIEVE LIFE SCIENCES	ACHIEVE LIFE SCIENCES	104
ACHILLION PHARMACEUTICALS INC	ACHILLION PHARMACEUTICALS INC	ACHILLION PHARMACEUTICALS	ACHILLION PHARMACEUTICALS	105
ACLARIS THERAPEUTICS INC	ACLARIS THERAPEUTICS INC	ACLARIS THERAPEUTICS	ACLARIS THERAPEUTICS	106
ACME PACKET INC	ACME PACKET INC	ACME PACKET	ACME PACKET	107
